;Tour de France;TDF Podium;TDF Top 5;TDF Top 10;TDF Bjerg/Point;TDF Etape;TDF Førertrøje;Grand Tour;GT Podium;GT Top 5;GT Top 10;GT Bjerg/Point;GT Etape;GT Førertrøje;Monument;Monument Top 3;Monument Top 5;WTT A;WTT A Top 3;WTT A Etape;WTC A;WTC A Top 3;WTT B;WTT B Top 3;WTT B Etape;WTC B;WTC B Top 3;WTT C;WTC C;WTT D;WTC D;NM A;NM A - ITT;NM B;NM B - ITT;OL-guld;OL-sølv;OL-bronze;OL ITT-guld;OL ITT-sølv;OL ITT-bronze;VM-guld;VM-sølv;VM-bronze;VM Top 5;VM ITT-guld;VM ITT-sølv;VM ITT-bronze;EM-guld;EM-sølv;EM-bronze;EM ITT-guld;EM ITT-sølv;EM ITT-bronze;OL-guld (amatør);OL-sølv (amatør);OL-bronze (amatør);OL-guld ITT (amatør);OL-sølv ITT (amatør);OL-bronze ITT (amatør);Andre
Point;120;45;20;8;20;12;4;80;30;13;5;13;8;2;50;13;3;25;7;3;20;4;15;3;2;14;2;8;8;4;4;5;2;3;1;65;30;25;40;20;16;80;23;17;3;35;10;7;18;3;2;10;2;1;20;8;5;15;6;4;0
Løb;Tour de France;Tour de France;Tour de France;Tour de France;Tour de France;Tour de France;Tour de France;Giro d'Italia;Giro d'Italia;Giro d'Italia;Giro d'Italia;Giro d'Italia;Giro d'Italia;Giro d'Italia;Milano-Sanremo;Milano-Sanremo;Milano-Sanremo;Paris-Nice >1953;Paris-Nice >1953;Paris-Nice >1953;Strade Bianche >2016;Strade Bianche >2016;Tour Down Under >2007;Tour Down Under >2007;Tour Down Under >2007;Omloop Het Nieuwsblad 1983-1987 + >2016;Omloop Het Nieuwsblad 1983-1987 + >2016;Tour of the Alps;Cadel Evans Great Ocean Road Race;Volta a la Communitat Valenciana >2020;Kuurne-Bruxelles-Kuurne;Belgien;Belgien;Australien (1984-1994 + 1996 + >1997);Australien;OL;OL;OL;OL i enkeltstart;OL i enkeltstart;OL i enkeltstart;VM;VM;VM;VM;VM i enkeltstart;VM i enkeltstart;VM i enkeltstart;EM;EM;EM;EM i enkeltstart;EM i enkeltstart;EM i enkeltstart;OL <1994;OL <1994;OL <1994;OL ITT <1994;OL ITT <1994;OL ITT <1994;Velo d'Or
;;;;;;;;Vuelta a España;Vuelta a España;Vuelta a España;Vuelta a España;Vuelta a España;Vuelta a España;Vuelta a España;Ronde van Vlaanderen;Ronde van Vlaanderen;Ronde van Vlaanderen;Tirreno-Adriatico >1985;Tirreno-Adriatico >1985;Tirreno-Adriatico >1985;Gent-Wevelgem;Gent-Wevelgem;UAE Tour >2018;UAE Tour >2018;UAE Tour >2018;E3 Saxo Bank Classic >2011;E3 Saxo Bank Classic >2011;Tour of Guangxi;Minerva Classic Brugge-De Panne >2018;4 Jours de Dunkerque <1961 + 1962-1966 + >1987;Scheldeprijs;Frankrig;Frankrig;Belarus (2009-2016);Belarus (2009-2016);;;;OL 12-timersløb;OL 12-timersløb;;;;;;;;;;;;;;;;;;;;;Trofeo Baracchi
;;;;;;;;;;;;;;;Paris-Roubaix;Paris-Roubaix;Paris-Roubaix;Volta Ciclista a Catalunya >1997;Volta Ciclista a Catalunya >1997;Volta Ciclista a Catalunya >1997;Amstel Gold Race;Amstel Gold Race;Tour de Pologne >2004;Tour de Pologne >2004;Tour de Pologne >2004;Dwars door Vlaanderen >2016;Dwars door Vlaanderen >2016;4 Jours de Dunkerque 1961 + 1967-1987;Eschborn-Frankfurt 1924-1927 + 1962-1988 + 1995 + >2016;Baloise Belgium Tour >1925;Brabantse Pijl;Italien;Italien;Canada (2012-2013);Canada (2012-2013);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Liège-Bastogne-Liège >1950;Liège-Bastogne-Liège >1950;Liège-Bastogne-Liège >1950;Itzulia Basque Country >1983;Itzulia Basque Country >1983;Itzulia Basque Country >1983;Fleche Wallonne;Fleche Wallonne;Benelux Tour >2004;Benelux Tour >2004;Benelux Tour >2004;BEMER Cyclassics >1997;BEMER Cyclassics >1997;Benelux Tour 1985-2004;Bretagne Classic - Ouest-France >1996;Deutschland Tour 1949-2004 + >2017;Brussels Cycling Classic >2002;Nederlandene;Nederlandene;Colombia;Colombia;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Il Lombardia;Il Lombardia;Il Lombardia;Tour de Romandie;Tour de Romandie;Tour de Romandie;Clasica San Sebastian >1987;Clasica San Sebastian >1987;Baloise Belgium Tour <1926;Baloise Belgium Tour <1926;Baloise Belgium Tour <1926;Milano-Torino <1926;Milano-Torino <1926;Deutschland Tour <1947 + 2005-2017;Grand Prix Cycliste de Quebec;Tour of Britain <1998 + >2013;Giro dell'Emilia <1928 + 1935-1937 + 1940-1942 + >1945;Spanien;Spanien;Danmark (1968 + 1970-1973 + 1981-1985 + >1986);Danmark (<1974 + 1981-1985 + >1986);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Paris-Tours <1955;Paris-Tours <1955;Paris-Tours <1955;Criterium du Dauphiné;Criterium du Dauphiné;Criterium du Dauphiné;Brussels Cycling Classic 1893 + 1907-1988;Brussels Cycling Classic 1893 + 1907-1988;Giro di Sicilia <1926;Giro di Sicilia <1926;Giro di Sicilia <1926;Bol d'Or >1924;Bol d'Or >1924;Itzulia Basque Country <1984;Grand Prix Cycliste de Montreal;Benelux Tour <1985;Tre Valli Varesine >1930;;;Ecuador (>2020);Ecuador (>2020);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Bol d'Or <1925;Bol d'Or <1925;Bol d'Or <1925;Tour de Suisse;Tour de Suisse;Tour de Suisse;Liège-Bastogne-Liège 1919-1925 + 1930-1950;Liège-Bastogne-Liège 1919-1925 + 1930-1950;Circuit de France;Circuit de France;Circuit de France;Grand Prix des Nations <1994;Grand Prix des Nations <1994;Paris-Nice <1954;Brussels Cycling Classic 1989-2002;Minerva Classic Brugge-De Panne <2018;Milano-Torino 1980-1987 + >1990;;;Irland (2010-2013 + 2017-2021);Irland (2010-2013 + 2017-2021);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Bordeaux-Paris <1946;Bordeaux-Paris <1946;Bordeaux-Paris <1946;La Course du Tour de France;La Course du Tour de France;La Course du Tour de France;Paris-Tours 1955-2007;Paris-Tours 1955-2007;Circuit des Champs de Bataille;Circuit des Champs de Bataille;Circuit des Champs de Bataille;Marseille-Paris;Marseille-Paris;Presidential Cycling Tour of Turkey 2017-2019;Clasica San Sebastian <1988;Giro di Sicilia 1948-1960;Gran Piemonte 1919-1927 + 1941-1946 + 1954-1974 + >1994;;;Kasakhstan (1998-2012);Kasakhstan (<2013);;;;;;;;;;;;;;;;;;;;;;;;;;
