Tour Down Under (<2008);4
Tour Down Under (>2007);15
2. plads i Tour Down Under (>2007);3
3. plads i Tour Down Under (>2007);3
etape af Tour Down Under (>2007);2
Cadel Evans Great Ocean Road Race;8
Volta a la Communitat Valenciana (>2019);4
UAE Tour (<2019);8
etape af UAE Tour (>2018);2
UAE Tour (>2018);15
2. plads i UAE Tour (>2018);3
3. plads i UAE Tour (>2018);3
Omloop Het Nieuwsblad (<1983 + 1988-2016);4
Omloop Het Nieuwsblad (1983-1987 + >2016);14
2. plads i Omloop Het Nieuwsblad (1983-1987 + >2016);2
3. plads i Omloop Het Nieuwsblad (1983-1987 + >2016);2
Kuurne-Bruxelles-Kuurne;4
Strade Bianche (<2017);4
Strade Bianche (>2016);20
2. plads i Strade Bianche (>2016);4
3. plads i Strade Bianche (>2016);4
Paris-Nice (<1954);8
etape af Paris-Nice (>1953);3
Paris-Nice (>1953);25
2. plads i Paris-Nice (>1953);7
3. plads i Paris-Nice (>1953);7
Tirreno-Adriatico (<1986);8
etape af Tirreno-Adriatico (>1985);3
Tirreno-Adriatico (>1985);25
2. plads i Tirreno-Adriatico (>1985);7
3. plads i Tirreno-Adriatico (>1985);7
Milano-Torino (<1926);14
2. plads i Milano-Torino (<1926);2
3. plads i Milano-Torino (<1926);2
Milano-Torino (1931-1979 + 1988-1990);8
Milano-Torino (1980-1987 + >1990);4
Milano-Sanremo;50
2. plads i Milano-Sanremo;13
3. plads i Milano-Sanremo;13
4. plads i Milano-Sanremo;3
5. plads i Milano-Sanremo;3
Classic Brugge-De Panne (<2018);4
Classic Brugge-De Panne 2018;4
Classic Brugge-De Panne (>2018);8
E3 Saxo Bank Classic (<2012);8
E3 Saxo Bank Classic (>2011);14
2. plads i E3 Saxo Bank Classic (>2011);2
3. plads i E3 Saxo Bank Classic (>2011);2
Gent-Wevelgem;20
2. plads i Gent-Wevelgem;4
3. plads i Gent-Wevelgem;4
Volta Ciclista a Catalunya (<1955);4
Volta Ciclista a Catalunya (1955-1997);8
etape af Volta Ciclista a Catalunya (>1997);3
Volta Ciclista a Catalunya (>1997);25
2. plads i Volta Ciclista a Catalunya (>1997);7
3. plads i Volta Ciclista a Catalunya (>1997);7
Dwars door Vlaanderen (<2017);4
Dwars door Vlaanderen (>2016);14
2. plads i Dwars door Vlaanderen;2
3. plads i Dwars door Vlaanderen;2
Ronde van Vlaanderen;50
2. plads i Ronde van Vlaanderen;13
3. plads i Ronde van Vlaanderen;13
4. plads i Ronde van Vlaanderen;3
5. plads i Ronde van Vlaanderen;3
Scheldeprijs;4
Itzulia Basque Country (<1984);8
etape af Itzulia Basque Country (>1983);3
Itzulia Basque Country (>1983);25
2. plads i Itzulia Basque Country (>1983);7
3. plads i Itzulia Basque Country (>1983);7
Paris-Roubaix;50
2. plads i Paris-Roubaix;13
3. plads i Paris-Roubaix;13
4. plads i Paris-Roubaix;3
5. plads i Paris-Roubaix;3
Brabantse Pijl;4
Amstel Gold Race;20
2. plads i Amstel Gold Race;4
3. plads i Amstel Gold Race;4
Fleche Wallonne;20
2. plads i Fleche Wallonne;4
3. plads i Fleche Wallonne;4
Tour of the Alps;8
Liège-Bastogne-Liège (<1919);4
Liège-Bastogne-Liège (1925-1929);8
Liège-Bastogne-Liège (1919-1925 + 1930-1950);20
2. plads i Liège-Bastogne-Liège (1919-1925 + 1930-1950);4
3. plads i Liège-Bastogne-Liège (1919-1925 + 1930-1950);4
Liège-Bastogne-Liège (>1950);50
2. plads i Liège-Bastogne-Liège (>1950);13
3. plads i Liège-Bastogne-Liège (>1950);13
4. plads i Liège-Bastogne-Liège (>1950);3
5. plads i Liège-Bastogne-Liège (>1950);3
Eschborn-Frankfurt (<1924 + 1928-1961 + 1989-1994 + 1996-2016);4
Eschborn-Frankfurt (1924-1927 + 1962-1988 + 1995 + >2016);8
etape af Tour de Romandie;3
Tour de Romandie;25
2. plads i Tour de Romandie;7
3. plads i Tour de Romandie;7
4 Jours de Dunkerque (1961 + 1967-1987);8
4 Jours de Dunkerque (<1961 + 1962-1966 + >1987);4
etape af Giro d'Italia;8
Dag i førertrøjen i Giro d'Italia;2
Giro d'Italia;80
2. plads i Giro d'Italia;30
3. plads i Giro d'Italia;30
4. plads i Giro d'Italia;13
5. plads i Giro d'Italia;13
6. plads i Giro d'Italia;5
7. plads i Giro d'Italia;5
8. plads i Giro d'Italia;5
9. plads i Giro d'Italia;5
10. plads i Giro d'Italia;5
Pointtrøjen i Giro d'Italia;13
Bjergtrøjen i Giro d'Italia;13
etape af Criterium du Dauphiné;3
Criterium du Dauphiné;25
2. plads i Criterium du Dauphiné;7
3. plads i Criterium du Dauphiné;7
etape af Baloise Belgium Tour (<1926);2
Baloise Belgium Tour (<1926);15
2. plads i Baloise Belgium Tour (<1926);3
3. plads i Baloise Belgium Tour (<1926);3
Baloise Belgium Tour (>1925);4
etape af Tour de Suisse;3
Tour de Suisse;25
2. plads i Tour de Suisse;7
3. plads i Tour de Suisse;7
etape af Tour de France;12
Dag i førertrøjen i Tour de France;4
Tour de France;120
2. plads i Tour de France;45
3. plads i Tour de France;45
4. plads i Tour de France;20
5. plads i Tour de France;20
6. plads i Tour de France;8
7. plads i Tour de France;8
8. plads i Tour de France;8
9. plads i Tour de France;8
10. plads i Tour de France;8
Pointtrøje i Tour de France;20
Bjergtrøje i Tour de France;20
Clasica San Sebastian (<1988);8
Clasica San Sebastian (>1987);20
2. plads i Clasica San Sebastian (>1987);4
3. plads i Clasica San Sebastian (>1987);4
Tour de Pologne (1994-2004);4
etape af Tour de Pologne (>2004);2
Tour de Pologne (>2004);15
2. plads i Tour de Pologne (>2004);3
3. plads i Tour de Pologne (>2004);3
Benelux Tour (<1985);4
Benelux Tour (1985-2004);8
etape af Benelux Tour (>2004);2
Benelux Tour (>2004);15
2. plads i Benelux Tour (>2004);3
3. plads i Benelux Tour (>2004);3
BEMER Cyclassics (<1998);4
BEMER Cyclassics (>1997);14
2. plads i BEMER Cyclassics (>1997);2
3. plads i BEMER Cyclassics (>1997);2
Bretagne Classic - Quest-France (1975-1996);4
Bretagne Classic - Quest-France (>1996);8
Deutschland Tour (<1947 + 2005-2017);8
Deutschland Tour (1949-2004 + >2017);4
Brussels Cycling Classic (1893 + 1907-1988);20
2. plads i Brussels Cycling Classic (1893 + 1907-1988);4
3. plads i Brussels Cycling Classic (1893 + 1907-1988);4
Brussels Cycling Classic (1989-2002);8
Brussels Cycling Classic (>2002);4
Grand Prix Cycliste de Quebec;8
Grand Prix Cycliste de Montreal;8
Tour of Britain (<1998 + >2013);4
etape af Vuelta a España;8
Dag i førertrøjen i Vuelta a España;2
Vuelta a España;80
2. plads i Vuelta a España;30
3. plads i Vuelta a España;30
4. plads i Vuelta a España;13
5. plads i Vuelta a España;13
6. plads i Vuelta a España;5
7. plads i Vuelta a España;5
8. plads i Vuelta a España;5
9. plads i Vuelta a España;5
10. plads i Vuelta a España;5
Pointtrøje i Vuelta a España;13
Bjergtrøje i Vuelta a España;13
Verdensmester i enkeltstart;35
VM-sølv i enkeltstart;10
VM-bronze i enkeltstart;7
Verdensmester;80
VM-sølv;23
VM-bronze;17
4. plads ved VM;3
5. plads ved VM;3
Giro dell'Emilia (<1928 + 1935-1937 + 1940-1942 + >1945);4
Tre Valli Varesine (>1930);4
Gran Piemonte (1934-1940 + 1947 + 1949-1953 + 1977-1994);8
Gran Piemonte (1919-1927 + 1941-1946 + 1954-1974 + >1994);4
Il Lombardia;50
2. plads i Il Lombardia;13
3. plads i Il Lombardia;13
4. plads i Il Lombardia;3
5. plads i Il Lombardia;3
Paris-Tours (<1955);50
2. plads i Paris-Tours (<1955);13
3. plads i Paris-Tours (<1955);13
4. plads i Paris-Tours (<1955);3
5. plads i Paris-Tours (<1955);3
Paris-Tours (1955-2007);20
2. plads i Paris-Tours (1955-2007);4
3. plads i Paris-Tours (1955-2007);4
Paris-Tours (>2007);4
Tour of Guangxi;8
Velo d'Or;0
Olympisk mester i enkeltstart (>1994);40
OL-sølv i enkeltstart (>1994);20
OL-bronze i enkeltstart (>1994);16
Olympisk mester i enkeltstart (<1994);15
OL-sølv i enkeltstart (<1994);6
OL-bronze i enkeltstart (<1994);4
Olympisk mester (>1994);65
OL-sølv (>1994);30
OL-bronze (>1994);25
Olympisk mester (<1994);20
OL-sølv (<1994);8
OL-bronze (<1994);5
Europamester i enkeltstart;10
EM-sølv i enkeltstart;2
EM-bronze i enkeltstart;1
Europamester;18
EM-sølv;3
EM-bronze;2
Amerikansk mester i enkeltstart (1984-1996 + >1998);1
Amerikansk mester (>1998);3
Australsk mester i enkeltstart;1
Australsk mester (1984-1994 + 1996 + >1997);3
Belarusisk mester i enkeltstart (2009-2016);1
Belarusisk mester (2009-2016);3
Belgisk mester i enkeltstart;2
Belgisk mester;5
Britisk mester i enkeltstart (<1999 + 2000 + 2002 + >2003);1
Britisk mester (1965-1967 + 1970-1976 + 1987-1998 + 2000 + 2002 + >2003);3
Canadisk mester i enkeltstart (2012-2013);1
Canadisk mester (2012-2013);3
Colombiansk mester i enkeltstart;1
Colombiansk mester;3
Dansk mester i enkeltstart (<1974 + 1981-1985 + >1986);1
Dansk mester (1968 + 1970-1973 + 1981-1985 + >1986);3
Ecuadoriansk mester i enkeltstart (>2020);1
Ecuadoriansk mester (>2020);3
Fransk mester i enkeltstart;2
Fransk mester;5
Irsk mester i enkeltstart (2010-2013 + 2017-2021);1
Irsk mester (2010-2013 + 2017-2021);3
Italiensk mester i enkeltstart;2
Italiensk mester;5
Kasakhisk mester i enkeltstart (<2013);1
Kasakhisk mester (1998-2012);3
Litauisk mester i enkeltstart (2012-2016);1
Litauisk mester (2012-2016);3
Luxembourgsk mester i enkeltstart (1951 + 2005-2010 + 2016);1
Luxembourgsk mester (1936-1940 + 1948 + 1950-1961 + 2005-2010 + 2016);3
Nederlandsk mester i enkeltstart;2
Nederlandsk mester;5
Norsk mester i enkeltstart (1990 + >2007);1
Norsk mester (1990 + >2007);3
Polsk mester i enkeltstart (1996-1997 + 1999-2004 + 2012-2022);1
Polsk mester (1995-1997 + 1999-2004 + 2012-2022);3
Portugisisk mester i enkeltstart (1975 + 2010-2016 + >2019);1
Portugisisk mester (1975-1979 + 1984 + 2010-2016 + >2019);3
Russisk mester i enkeltstart (<2022);1
Russisk mester (<2022);3
Schweizisk mester i enkeltstart;1
Schweizisk mester (1904 + 1912-1970 + >1975);3
Slovensk mester i enkeltstart (>2003);1
Slovensk mester (>2003);3
Spansk mester i enkeltstart;2
Spansk mester;5
Svensk mester i enkeltstart (1980-1985 + 1999-2003 + 2007-2009 + 2012-2013);1
Svensk mester (1980-1985 + 1999-2003 + 2007-2009 + 2012-2013);3
Tjekkisk mester i enkeltstart (2001-2005 + >2012);1
Tjekkisk mester (2001-2005 + >2012);3
Tysk mester i enkeltstart;1
Tysk mester (<1942 + 1947-1956 + 1959-1975 + >1978);3
Ukrainsk mester i enkeltstart (<2010);1
Ukrainsk mester (1996-2009);3
Østrigsk mester i enkeltstart (2006 + 2008 + >2017);1
Østrigsk mester (1988-1989 + 2006 + 2008 >2017);3
Berlin-Cottbus-Berlin;20
2. plads i Berlin-Cottbus-Berlin;4
3. plads i Berlin-Cottbus-Berlin;4
Bol d'Or (<1925);50
2. plads i Bol d'Or (<1925);13
3. plads i Bol d'Or (<1925);13
4. plads i Bol d'Or (<1925);3
5. plads i Bol d'Or (<1925);3
Bol d'Or (>1924);14
2. plads i Bol d'Or (>1924);2
3. plads i Bol d'Or (>1924);2
Bordeaux-Paris (<1946);50
2. plads i Bordeaux-Paris (<1946);13
3. plads i Bordeaux-Paris (<1946);13
4. plads i Bordeaux-Paris (<1946);3
5. plads i Bordeaux-Paris (<1946);3
Bordeaux-Paris (1946-1970);20
2. plads i Bordeaux-Paris (1946-1970);4
3. plads i Bordeaux-Paris (1946-1970);4
Bordeaux-Paris (>1970);8
Bordeaux-Paris-Bordeaux;20
2. plads i Bordeaux-Paris-Bordeaux;4
3. plads i Bordeaux-Paris-Bordeaux;4
Circuit de Belgique (1940-1944);4
Circuit de Belgique (<1940 + 1945);4
etape af Circuit des Champs de Bataille;2
Circuit des Champs de Bataille;15
2. plads i Circuit des Champs de Bataille;3
3. plads i Circuit des Champs de Bataille;3
etape af Circuit de France;2
Circuit de France;15
2. plads i Circuit de France;3
3. plads i Circuit de France;3
Circuit de Paris;20
2. plads i Circuit de Paris;4
3. plads i Circuit de Paris;4
Criterium International (<1963 + 1967-1977);4
Criterium International (1963-1966 + >1977);4
Cuca Cocoa Cup;50
2. plads i Cuca Cocoa Cup;13
3. plads i Cuca Cocoa Cup;13
4. plads i Cuca Cocoa Cup;3
5. plads i Cuca Cocoa Cup;3
Genoa-Nice (1910 + 1957-1964);8
Genoa-Nice (1911-1938 + 1954-1956 + 1965-1971 + >1972);4
Giro del Lazio (<1937 + 1958);4
Giro del Lazio (1938-1957 + 1958-2008);4
Giro di Romagna (<1924);8
Giro di Romagna (1925-1997);4
etape af Giro di Sicilia (<1926);2
Giro di Sicilia (<1926);15
2. plads i Giro di Sicilia (<1926);3
3. plads i Giro di Sicilia (<1926);3
Giro di Sicilia (1948-1960);4
GP du Midi-Libre (1961 + 1966-1988);8
GP du Midi-Libre (<1961 + 1962-1965 >1988);4
G.P. Sporting (1921);8
G.P. Sporting (<1921 + >1921);8
G.P. Stan Ockers;8
Gran Fondo - La Seicento (<1941);20
2. plads i Gran Fondo - La Seicento (<1941);4
3. plads i Gran Fondo - La Seicento (<1941);4
Gran Fondo - La Seicento (>1940);4
Grand Prix de Lunel;8
Grand Prix des Amériques;8
Grand Prix des Nations (<1994);14
2. plads i Grand Prix des Nations (<1994);2
3. plads i Grand Prix des Nations (<1994);2
Grand Prix des Nations (>1993);4
Grand Prix Wolber;50
2. plads i Grand Prix Wolber;13
3. plads i Grand Prix Wolber;13
4. plads i Grand Prix Wolber;3
5. plads i Grand Prix Wolber;3
Grosser Sachsenpreis (<1934);8
Grosser Sachsenpreis (>1933);4
Japan Cup Cycle Road Race (<2002);4
etape af La Course du Tour de France;3
La Course du Tour de France;25
2. plads i La Course du Tour de France;7
3. plads i La Course du Tour de France;7
Lyon-Paris-Lyon;20
2. plads i Lyon-Paris-Lyon;4
3. plads i Lyon-Paris-Lyon;4
Marseille-Lyon (1930-1937);8
Marseille-Lyon (<1930 + >1937);4
Marseille-Paris;14
2. plads i Marseille-Paris;2
3. plads i Marseille-Paris;2
Milano-Modena (<1929 + >1929);8
Nord-West Schweizer Rundfahrt;8
North Road 100;14
2. plads i North Road 100;2
3. plads i North Road 100;2
North Road 24 Hour Road Race (<1897);50
2. plads i North Road 24 Hour Road Race (<1897);13
3. plads i North Road 24 Hour Road Race (<1897);13
4. plads i North Road 24 Hour Road Race (<1897);3
5. plads i North Road 24 Hour Road Race (<1897);3
North Road 24 Hour Road Race (>1896);4
OL 12 timers løb - guld;40
OL 12 timers løb - sølv;20
Paris-Brest-Paris;50
2. plads i Paris-Brest-Paris;13
3. plads i Paris-Brest-Paris;13
4. plads i Paris-Brest-Paris;3
5. plads i Paris-Brest-Paris;3
Paris-Clermont-Ferrand;4
Paris-Luxembourg;8
Paris-Menin (<1924);8
Paris-Menin (>1924);4
Paris-Nantes-Paris;14
2. plads i Paris-Nantes-Paris;2
3. plads i Paris-Nantes-Paris;2
Paris-Rennes (>1925);4
etape af Paris - Saint-Etienne;2
Paris - Saint-Etienne;15
2. plads i Paris - Saint-Etienne;3
3. plads i Paris - Saint-Etienne;3
Paris-Spa;14
2. plads i Paris-Spa;2
3. plads i Paris-Spa;2
Presidential Cycling Tour of Turkey (2017-2019);8
Prudential RideLondon-Surrey Classic (<2017);4
Prudential RideLondon-Surrey Classic (>2016);8
Roma-Napoli-Roma (<1908 + 1912comma 1914 + 1920-1929 + 1931-1949);20
2. plads i Roma-Napoli-Roma (<1908 + 1912comma 1914 + 1920-1929 + 1931-1949);4
3. plads i Roma-Napoli-Roma (<1908 + 1912comma 1914 + 1920-1929 + 1931-1949);4
etape af Roma-Napoli-Roma (1908-1911 + 1913comma 1919comma 1930 + >1949);2
Roma-Napoli-Roma (1908-1911 + 1913comma 1919comma 1930 + >1949);15
2. plads i Roma-Napoli-Roma (1908-1911 + 1913comma 1919comma 1930 + >1949);3
3. plads i Roma-Napoli-Roma (1908-1911 + 1913comma 1919comma 1930 + >1949);3
etape af Ronde de France;2
Ronde de France;15
2. plads i Ronde de France;3
3. plads i Ronde de France;3
Rund um Berlin;14
2. plads i Rund um Berlin;2
3. plads i Rund um Berlin;2
Rund um Spessart und Rhön;8
Setmana-Catalana (1972-1978);8
Setmana-Catalana (1967-1971 + >1978);4
Tour de l'Avenir (1981-1990);4
Tour de l'Ouest (<1946 + >1958);8
Tour de l'Ouest (1946-1958);4
Tour du Sud-Est (<1964);4
Tour du Sud-Est (1964-1965);8
Tour of Beijing;8
Tour of California (<2017);4
Tour of California (>2016);8
Trofeo Baracchi;0
etape af Völkerschlacht-Jubiläumsfahrt;2
Völkerschlacht-Jubiläumsfahrt;15
2. plads i Völkerschlacht-Jubiläumsfahrt;3
3. plads i Völkerschlacht-Jubiläumsfahrt;3
Wien-Berlin;8
Wien-Graz-Triest;14
2. plads i Wien-Graz-Triest;2
3. plads i Wien-Graz-Triest;2
Wincanton Classic;8
Züri-Metzgete (<1945);4
Züri-Metzgete (1945-1971);8
Züri-Metzgete (>1971);20
2. plads i Züri-Metzgete (>1971);4
3. plads i Züri-Metzgete (>1971);4
Zürich-München;8
Paris-Rennes (<1926);14
2. plads i Paris-Rennes (<1926);2
3. plads i Paris-Rennes (<1926);2
