Placering;All time;Rytter;Point;Nationalitet;Hold;Årgang
1;14;Chris Froome;1493;Storbritannien;Israel - Premier Tech;1985
2;27;Peter Sagan;1050;Slovakiet;TotalEnergies;1990
3;28;Primoz Roglic;1031;Slovenien;Jumbo-Visma;1989
4;34;Tadej Pogacar;950;Slovenien;UAE Team Emirates;1998
5;41;Mark Cavendish;869;Storbritannien;Astana Qazaqstan Team;1985
6;65;Nairo Quintana;708;Colombia;-;1990
7;81;Julian Alaphilippe;630;Frankrig;Soudal - Quick Step;1992
8;107;Geraint Thomas;490;Storbritannien;INEOS Grenadiers;1986
9;108;Wout van Aert;489;Belgien;Jumbo-Visma;1994
10;130;Greg Van Avermaet;426;Belgien;AG2R Citroën Team;1985
11;143;Richard Carapaz;404;Ecuador;EF Education-EasyPost;1993
12;150;Michal Kwiatkowski;386;Polen;INEOS Grenadiers;1990
13;152;Remco Evenepoel;383;Belgien;Soudal - Quick Step;2000
14;153;Alexander Kristoff;382;Norge;Uno-X Pro Cycling Team;1987
16;169;Egan Bernal;353;Colombia;INEOS Grenadiers;1997
17;172;Simon Yates;350;Storbritannien;Team Jayco AlUla;1992
15;157;Mathieu van der Poel;370;Nederlandene;Alpecin-Deceuninck;1995
18;200;Rigoberto Uran;315;Colombia;EF Education-EasyPost;1987
19;202;Rui Costa;312;Portugal;Intermarché - Circus - Wanty;1986
20;210;Michael Matthews;301;Australien;Team Jayco AlUla;1990
21;224;John Degenkolb;291;Tyskland;Team DSM;1989
22;230;Jonas Vingegaard;284;Danmark;Jumbo-Visma;1996
23;237;Jakob Fuglsang;276;Danmark;Israel - Premier Tech;1985
24;240;Arnaud Demare;274;Frankrig;Groupama - FDJ;1991
25;252;Romain Bardet;259;Frankrig;Team DSM;1990
25;252;Thibaut Pinot;259;Frankrig;Groupama - FDJ;1990
27;290;Mikel Landa;225;Spanien;Bahrain - Victorious;1989
27;290;Rafal Majka;225;Polen;UAE Team Emirates;1989
27;290;Bauke Mollema;225;Nederlandene;Trek - Segafredo;1986
30;307;Elia Viviani;212;Italien;INEOS Grenadiers;1989
31;314;Edvald Boasson Hagen;207;Norge;TotalEnergies;1987
32;319;Miguel Angel Lopez;204;Colombia;Team Medellin - EPM;1994
33;326;Esteban Chaves;201;Colombia;EF Education-EasyPost;1990
34;330;Adam Yates;199;Storbritannien;UAE Team Emirates;1992
35;332;Rohan Dennis;198;Australien;Jumbo-Visma;1990
36;340;Luis Leon Sanchez;194;Spanien;Astana Qazaqstan Team;1983
37;349;Caleb Ewan;189;Australien;Lotto Dstny;1994
38;366;Mads Pedersen;179;Danmark;Trek - Segafredo;1995
40;391;Enric Mas;167;Spanien;Movistar Team;1995
39;379;Filippo Ganna;173;Italien;INEOS Grenadiers;1996
41;409;Sam Bennett;159;Irland;BORA - hansgrohe;1990
42;420;Ion Izagirre;155;Spanien;Cofidis;1989
43;455;Matteo Trentin;144;Italien;UAE Team Emirates;1989
44;476;Jai Hindley;138;Australien;BORA - hansgrohe;1996
44;476;Matej Mohoric;138;Slovenien;Bahrain - Victorious;1994
46;492;Steven Kruijswijk;133;Nederlandene;Jumbo-Visma;1987
47;496;Tim Wellens;131;Belgien;UAE Team Emirates;1991
48;505;Francisco Mancebo;128;Spanien;Matrix Powertag;1976
49;513;Dylan van Baarle;126;Nederlandene;Jumbo-Visma;1992
50;525;Thomas De Gendt;121;Belgien;Lotto Dstny;1986
51;538;Oscar Sevilla;118;Spanien;Team Medellin - EPM;1976
52;556;Zdenek Stybar;115;Tjekkiet;Team Jayco AlUla;1985
53;566;Bob Jungels;113;Luxembourg;BORA - hansgrohe;1992
54;576;Fabio Jakobsen;110;Nederlandene;Soudal - Quick Step;1996
55;582;Diego Ulissi;108;Italien;UAE Team Emirates;1989
55;582;Stefan Kung;108;Schweiz;Groupama - FDJ;1993
57;587;Aleksandr Vlasov;107;Rusland;BORA - hansgrohe;1996
58;601;Maximilian Schachmann;104;Tyskland;BORA - hansgrohe;1994
58;601;Fernando Gaviria;104;Colombia;Movistar Team;1994
58;601;Joao Almeida;104;Portugal;UAE Team Emirates;1998
61;609;Tao Geoghegan Hart;103;Storbritannien;INEOS Grenadiers;1995
62;625;Jasper Stuyven;99;Belgien;Trek - Segafredo;1992
63;630;Nacer Bouhanni;98;Frankrig;Team Arkéa Samsic;1990
63;630;Yves Lampaert;98;Belgien;Soudal - Quick Step;1991
63;630;Dylan Groenewegen;98;Nederlandene;Team Jayco AlUla;1993
66;641;Warren Barguil;96;Frankrig;Team Arkéa Samsic;1991
66;641;Pascal Ackermann;96;Tyskland;UAE Team Emirates;1994
68;651;Daniel Felipe Martinez;94;Colombia;INEOS Grenadiers;1996
69;659;Kasper Asgreen;93;Danmark;Soudal - Quick Step;1995
69;659;Robert Gesink;93;Nederlandene;Jumbo-Visma;1986
69;659;Giacomo Nizzolo;93;Italien;Israel - Premier Tech;1989
72;667;Domenico Pozzovivo;91;Italien;Israel - Premier Tech;1982
73;695;Wilco Kelderman;87;Nederlandene;Jumbo-Visma;1991
74;703;Dylan Teuns;86;Belgien;Israel - Premier Tech;1992
75;726;Wout Poels;83;Nederlandene;Bahrain - Victorious;1987
76;739;Magnus Cort;80;Danmark;EF Education-EasyPost;1993
77;748;Sep Vanmarcke;79;Belgien;Israel - Premier Tech;1988
78;756;Damiano Caruso;78;Italien;Bahrain - Victorious;1987
79;787;Michael Woods;74;Canada;Israel - Premier Tech;1986
79;787;Pello Bilbao;74;Spanien;Bahrain - Victorious;1990
79;787;Jasper Philipsen;74;Belgien;Alpecin-Deceuninck;1998
82;796;David Gaudu;73;Frankrig;Groupama - FDJ;1996
