1;Eddy Merckx;4530;Belgien;1945
2;Bernard Hinault;2662;Frankrig;1954
3;Jacques Anquetil;2067;Frankrig;1934
4;Fausto Coppi;1978;Italien;1919
5;Gino Bartali;1954;Italien;1914
6;Lance Armstrong;1780;USA;1971
7;Alejandro Valverde;1699;Spanien;1980
8;Sean Kelly;1633;Irland;1956
9;Miguel Indurain;1632;Spanien;1964
10;Alfredo Binda;1586;Italien;1902
11;Alberto Contador;1576;Spanien;1982
12;Felice Gimondi;1522;Italien;1942
13;Rik Van Looy;1498;Belgien;1933
14;Chris Froome;1493;Storbritannien;1985
15;Francesco Moser;1476;Italien;1951
16;Costante Girardengo;1408;Italien;1893
17;Louison Bobet;1379;Frankrig;1925
18;Roger De Vlaeminck;1291;Belgien;1947
19;Joop Zoetemelk;1268;Nederlandene;1946
20;Tony Rominger;1264;Schweiz;1961
21;Vincenzo Nibali;1187;Italien;1984
22;Freddy Maertens;1171;Belgien;1952
23;Laurent Jalabert;1154;Frankrig;1968
24;Fabian Cancellara;1144;Schweiz;1981
25;Raymond Poulidor;1091;Frankrig;1936
26;Giuseppe Saronni;1073;Italien;1957
27;Peter Sagan;1050;Slovakiet;1990
28;Primoz Roglic;1031;Slovenien;1989
29;Ferdinand Kubler;1004;Schweiz;1919
30;Fiorenzo Magni;981;Italien;1920
31;Greg LeMond;978;USA;1961
32;Rik Van Steenbergen;965;Belgien;1924
33;Jan Ullrich;958;Tyskland;1973
34;Tadej Pogacar;950;Slovenien;1998
35;Nicolas Frantz;943;Luxembourg;1899
36;Learco Guerra;931;Italien;1902
37;Laurent Fignon;925;Frankrig;1960
38;Mario Cipollini;913;Italien;1967
39;Francois Faber;884;Luxembourg;1887
40;Erik Zabel;876;Tyskland;1970
41;Mark Cavendish;869;Storbritannien;1985
42;Tom Boonen;856;Belgien;1980
43;Henri Pelissier;855;Frankrig;1889
44;Andre Leducq;846;Frankrig;1904
45;Antonin Magne;823;Frankrig;1904
46;Luis Ocana;818;Spanien;1945
47;Charly Gaul;816;Luxembourg;1932
48;Philippe Thys;811;Belgien;1890
49;Joaquim Rodriguez;803;Spanien;1979
50;Gianni Bugno;800;Italien;1964
51;Jan Janssen;799;Nederlandene;1940
52;Paolo Bettini;792;Italien;1974
53;Alex Zulle;791;Schweiz;1968
54;Lucien Van Impe;790;Belgien;1946
55;Moreno Argentin;770;Italien;1960
56;Gustave Garrigou;766;Frankrig;1884
57;Johan Museeuw;763;Belgien;1965
58;Jan Raas;761;Nederlandene;1952
59;Hugo Koblet;747;Schweiz;1925
60;Philippe Gilbert;737;Belgien;1982
61;Pedro Delgado;734;Spanien;1960
62;Oscar Freire;719;Spanien;1976
63;Franco Bitossi;712;Italien;1940
64;Rudi Altig;709;Tyskland;1937
65;Nairo Quintana;708;Colombia;1990
66;Alexandre Vinokourov;700;Kasakhstan;1973
67;Gaetano Belloni;697;Italien;1892
67;Cadel Evans;697;Australien;1977
69;Bernard Thevenet;695;Frankrig;1948
70;Stephen Roche;690;Irland;1959
70;Alessandro Petacchi;690;Italien;1974
72;Lucien Petit-Breton;666;Frankrig;1882
73;Claudio Chiappucci;660;Italien;1963
74;Roberto Heras;659;Spanien;1974
75;Giovanni Brunero;654;Italien;1895
76;Andre Darrigade;653;Frankrig;1929
77;Walter Godefroot;636;Belgien;1943
78;Sylvere Maes;635;Belgien;1909
79;Louis Trousselier;634;Frankrig;1881
80;Briek Schotte;633;Belgien;1919
81;Julian Alaphilippe;630;Frankrig;1992
82;Hennie Kuiper;629;Nederlandene;1949
83;Federico Bahamontes;623;Spanien;1928
84;Vittorio Adorni;620;Italien;1937
85;Herman Van Springel;610;Belgien;1943
86;Georges Ronsse;597;Belgien;1906
87;Marco Pantani;570;Italien;1970
88;Jean Alavoine;558;Frankrig;1888
89;Abraham Olano;546;Spanien;1970
90;Ottavio Bottecchia;543;Italien;1894
91;Delio Rodriguez;541;Spanien;1916
92;Gilberto Simoni;540;Italien;1971
93;Gastone Nencini;535;Italien;1930
94;Jose Manuel Fuente;533;Spanien;1945
95;Leon Georget;526;Frankrig;1879
95;Stan Ockers;526;Belgien;1920
97;Michele Bartoli;521;Italien;1970
98;Danilo Di Luca;519;Italien;1976
99;Charly Mottet;513;Frankrig;1962
100;Emile Georget;510;Frankrig;1881
101;Alfred De Bruyne;507;Belgien;1930
102;Heiri Suter;500;Schweiz;1899
103;Octave Lapize;498;Frankrig;1887
104;Denis Menchov;493;Rusland;1978
104;Bradley Wiggins;493;Storbritannien;1980
106;Eugene Christophe;491;Frankrig;1885
107;Geraint Thomas;490;Storbritannien;1986
109;Miguel Poblet;488;Spanien;1928
110;Louis Mottiat;483;Belgien;1889
108;Wout van Aert;489;Belgien;1994
111;Dietrich Thurau;475;Tyskland;1954
112;Davide Rebellin;474;Italien;1971
113;Maurice Garin;469;Frankrig;1871
114;Gianni Motta;460;Italien;1943
115;Julian Berrendero;453;Spanien;1912
115;Richard Virenque;453;Frankrig;1969
117;Ivan Basso;452;Italien;1977
118;Roger Pingeon;449;Frankrig;1940
119;Thor Hushovd;448;Norge;1978
119;Damiano Cunego;448;Italien;1981
121;Phil Anderson;447;Australien;1958
122;Marino Lejarreta;446;Spanien;1957
123;Tom Dumoulin;438;Nederlandene;1990
124;Georges Speicher;436;Frankrig;1907
125;Maurice De Waele;433;Belgien;1896
126;Robbie McEwen;430;Australien;1972
127;Samuel Sanchez;429;Spanien;1978
127;Carlo Galetti;429;Italien;1882
129;Gerrie Knetemann;428;Nederlandene;1951
130;Greg Van Avermaet;426;Belgien;1985
131;Pavel Tonkov;424;Rusland;1969
131;Nino Defilippis;424;Italien;1932
133;Rolf Sørensen;417;Danmark;1965
134;Michel Pollentier;415;Belgien;1951
135;Gianbattista Baronchelli;414;Italien;1953
135;Eric Vanderaerden;414;Belgien;1962
137;Luigi Ganna;413;Italien;1883
138;Marino Basso;410;Italien;1945
139;Tony Martin;408;Tyskland;1985
139;Jean Stablinski;408;Frankrig;1932
141;Raymond Impanis;406;Belgien;1925
142;Firmin Lambot;405;Belgien;1886
143;Roger Lapebie;404;Frankrig;1911
143;Cyrille Van Hauwaert;404;Belgien;1883
143;Richard Carapaz;404;Ecuador;1993
146;Pascal Richard;403;Schweiz;1964
147;Marcel Kint;398;Belgien;1914
147;Claude Criquielion;398;Belgien;1957
149;Carlos Sastre;395;Spanien;1975
150;Michal Kwiatkowski;386;Polen;1990
151;Andre Greipel;385;Tyskland;1982
152;Remco Evenepoel;383;Belgien;2000
153;Alexander Kristoff;382;Norge;1987
154;Raphael Geminiani;381;Frankrig;1925
155;Giovanni Battaglin;380;Italien;1951
156;Rene Vietto;378;Frankrig;1914
158;Andrew Hampsten;367;USA;1962
158;Giuseppe Olmo;367;Italien;1911
160;Richie Porte;366;Australien;1985
161;Guido Bontempi;361;Italien;1960
162;Lucien Buysse;360;Belgien;1892
163;Adrie van der Poel;359;Nederlandene;1959
164;Robert Millar;357;Storbritannien;1958
164;Maurizio Fondriest;357;Italien;1965
166;Stefano Garzelli;356;Italien;1973
166;Tom Simpson;356;Storbritannien;1937
168;Felix Sellier;354;Belgien;1893
169;Egan Bernal;353;Colombia;1997
170;Luis Alberto Herrera;352;Colombia;1961
171;Giovanni Valetti;351;Italien;1913
172;Simon Yates;350;Storbritannien;1992
